temperature,vibration_total,rpm,risk_level
35.21,0.324,1450,NORMAL
48.26,0.64,1450,NORMAL
40.51,0.291,1450,NORMAL
39.66,0.488,1450,NORMAL
44.66,0.45,1450,NORMAL
48.12,0.45,1450,NORMAL
36.8,0.538,1450,NORMAL
37.12,0.5,1450,NORMAL
45.18,0.24,1450,NORMAL
35.09,0.469,1450,NORMAL
39.38,0.49,1450,NORMAL
38.64,0.354,1450,NORMAL
41.15,0.268,1450,NORMAL
47.27,0.329,1450,NORMAL
41.35,0.443,1450,NORMAL
36.5,0.464,1450,NORMAL
35.16,0.396,1450,NORMAL
38.61,0.325,1450,NORMAL
37.67,0.471,1450,NORMAL
44.71,0.418,1450,NORMAL
35.48,0.407,1450,NORMAL
40.41,0.444,1450,NORMAL
35.28,0.509,1450,NORMAL
43.62,0.445,1450,NORMAL
35.28,0.465,1450,NORMAL
40.69,0.558,1450,NORMAL
40.07,0.348,1450,NORMAL
42.6,0.495,1450,NORMAL
46.74,0.4,1450,NORMAL
48.83,0.528,1450,NORMAL
46.6,0.539,1450,NORMAL
35.4,0.362,1450,NORMAL
38.51,0.505,1450,NORMAL
48.68,0.426,1450,NORMAL
37.34,0.538,1450,NORMAL
39.08,0.591,1450,NORMAL
38.15,0.621,1450,NORMAL
38.66,0.449,1450,NORMAL
36.55,0.418,1450,NORMAL
38.42,0.391,1450,NORMAL
48.1,0.411,1450,NORMAL
35.85,0.475,1450,NORMAL
35.85,0.488,1450,NORMAL
45.04,0.569,1450,NORMAL
45.17,0.367,1450,NORMAL
36.89,0.421,1450,NORMAL
35.24,0.458,1450,NORMAL
40.79,0.419,1450,NORMAL
43.18,0.495,1450,NORMAL
43.68,0.285,1450,NORMAL
37.83,0.417,1450,NORMAL
47.94,0.476,1450,NORMAL
59.08,1.093,1450,WARNING
52.14,0.948,1450,WARNING
61.59,1.113,1450,WARNING
53.19,1.043,1450,WARNING
57.94,0.878,1450,WARNING
64.62,0.94,1450,WARNING
68.11,0.985,1450,WARNING
53.76,1.187,1450,WARNING
50.89,0.933,1450,WARNING
52.4,0.879,1450,WARNING
60.73,0.986,1450,WARNING
59.54,1.167,1450,WARNING
59.94,1.115,1450,WARNING
58.13,1.069,1450,WARNING
55.99,1.239,1450,WARNING
53.69,0.98,1450,WARNING
61.06,1.1,1450,WARNING
60.77,1.33,1450,WARNING
54.86,1.03,1450,WARNING
66.65,1.071,1450,WARNING
50.0,1.062,1450,WARNING
52.37,1.012,1450,WARNING
67.45,1.153,1450,WARNING
60.15,0.997,1450,WARNING
57.97,1.193,1450,WARNING
57.83,0.891,1450,WARNING
62.38,1.137,1450,WARNING
66.33,1.079,1450,WARNING
67.94,1.081,1450,WARNING
54.25,0.921,1450,WARNING
60.74,1.301,1450,WARNING
50.28,1.028,1450,WARNING
58.58,0.964,1450,WARNING
63.25,0.888,1450,WARNING
63.02,1.202,1450,WARNING
56.98,1.023,1450,WARNING
55.31,1.114,1450,WARNING
54.02,1.312,1450,WARNING
51.0,1.13,1450,WARNING
64.8,1.114,1450,WARNING
61.23,0.807,1450,WARNING
67.3,1.103,1450,WARNING
53.28,1.184,1450,WARNING
60.11,1.014,1450,WARNING
50.84,1.181,1450,WARNING
68.68,0.907,1450,WARNING
53.47,1.152,1450,WARNING
56.49,1.006,1450,WARNING
56.69,1.125,1450,WARNING
64.7,0.999,1450,WARNING
63.96,1.131,1450,WARNING
60.74,1.163,1450,WARNING
57.54,1.05,1450,WARNING
59.73,0.98,1450,WARNING
56.67,0.967,1450,WARNING
64.74,1.187,1450,WARNING
62.57,1.082,1450,WARNING
55.33,1.006,1450,WARNING
57.17,1.087,1450,WARNING
64.73,0.96,1450,WARNING
55.72,0.85,1450,WARNING
51.11,1.103,1450,WARNING
61.9,0.974,1450,WARNING
67.91,0.844,1450,WARNING
68.59,1.131,1450,WARNING
69.0,0.979,1450,WARNING
66.43,1.1,1450,WARNING
50.58,0.851,1450,WARNING
52.28,1.141,1450,WARNING
60.46,1.082,1450,WARNING
50.83,0.954,1450,WARNING
56.12,0.993,1450,WARNING
62.01,1.079,1450,WARNING
68.34,1.125,1450,WARNING
52.78,0.944,1450,WARNING
59.93,1.106,1450,WARNING
53.96,1.333,1450,WARNING
51.47,1.256,1450,WARNING
63.21,1.047,1450,WARNING
64.53,1.043,1450,WARNING
53.64,0.871,1450,WARNING
51.89,0.944,1450,WARNING
57.95,1.182,1450,WARNING
66.37,1.028,1450,WARNING
62.22,1.1,1450,WARNING
52.05,1.168,1450,WARNING
66.16,1.121,1450,WARNING
56.04,0.974,1450,WARNING
51.83,0.972,1450,WARNING
58.93,1.026,1450,WARNING
63.97,1.204,1450,WARNING
55.78,1.103,1450,WARNING
63.08,1.109,1450,WARNING
56.37,0.997,1450,WARNING
67.63,1.035,1450,WARNING
57.95,1.098,1450,WARNING
56.04,1.157,1450,WARNING
66.51,1.135,1450,WARNING
57.79,1.218,1450,WARNING
65.93,1.12,1450,WARNING
53.57,1.178,1450,WARNING
61.51,1.214,1450,WARNING
58.34,1.154,1450,WARNING
63.08,1.098,1450,WARNING
56.04,0.998,1450,WARNING
64.31,1.123,1450,WARNING
61.08,0.989,1450,WARNING
57.77,1.181,1450,WARNING
59.07,0.946,1450,WARNING
67.83,1.023,1450,WARNING
57.34,1.124,1450,WARNING
58.37,0.936,1450,WARNING
59.62,1.156,1450,WARNING
57.21,1.059,1450,WARNING
66.82,1.063,1450,WARNING
59.12,1.046,1450,WARNING
67.54,1.102,1450,WARNING
63.46,0.933,1450,WARNING
57.46,1.177,1450,WARNING
60.06,1.172,1450,WARNING
85.63,2.052,1450,CRITICAL
79.04,2.123,1450,CRITICAL
83.96,2.141,1450,CRITICAL
84.45,2.015,1450,CRITICAL
73.96,2.124,1450,CRITICAL
88.17,2.093,1450,CRITICAL
84.11,2.083,1450,CRITICAL
86.0,2.185,1450,CRITICAL
83.39,2.082,1450,CRITICAL
79.56,2.009,1450,CRITICAL
82.67,2.14,1450,CRITICAL
76.91,2.33,1450,CRITICAL
76.97,2.456,1450,CRITICAL
86.95,2.272,1450,CRITICAL
75.61,2.317,1450,CRITICAL
86.37,2.296,1450,CRITICAL
85.56,2.27,1450,CRITICAL
72.57,2.314,1450,CRITICAL
75.91,2.156,1450,CRITICAL
74.89,2.378,1450,CRITICAL
83.1,2.301,1450,CRITICAL
78.16,2.191,1450,CRITICAL
87.84,2.306,1450,CRITICAL
80.38,2.386,1450,CRITICAL
78.33,1.912,1450,CRITICAL
82.76,1.906,1450,CRITICAL
75.64,2.243,1450,CRITICAL
84.88,2.428,1450,CRITICAL
77.45,2.237,1450,CRITICAL
81.42,1.962,1450,CRITICAL
84.2,2.053,1450,CRITICAL
87.06,2.121,1450,CRITICAL
75.98,2.102,1450,CRITICAL
81.18,2.225,1450,CRITICAL
89.99,2.018,1450,CRITICAL
71.14,2.048,1450,CRITICAL
76.08,2.23,1450,CRITICAL
75.61,2.294,1450,CRITICAL
74.23,2.192,1450,CRITICAL
89.59,1.84,1450,CRITICAL
88.95,2.186,1450,CRITICAL
75.46,2.262,1450,CRITICAL
78.22,1.93,1450,CRITICAL
82.76,2.324,1450,CRITICAL
74.77,2.058,1450,CRITICAL
77.46,2.151,1450,CRITICAL
83.62,2.071,1450,CRITICAL
86.66,2.252,1450,CRITICAL
76.91,2.348,1450,CRITICAL
73.04,2.216,1450,CRITICAL
72.8,2.303,1450,CRITICAL
82.98,1.839,1450,CRITICAL
76.71,2.205,1450,CRITICAL
79.71,1.923,1450,CRITICAL
75.96,2.181,1450,CRITICAL
84.89,2.295,1450,CRITICAL
84.63,2.02,1450,CRITICAL
71.96,1.933,1450,CRITICAL
83.21,2.13,1450,CRITICAL
77.97,2.055,1450,CRITICAL
75.83,2.328,1450,CRITICAL
75.16,2.12,1450,CRITICAL
88.38,2.154,1450,CRITICAL
89.77,2.066,1450,CRITICAL
74.8,2.224,1450,CRITICAL
78.16,2.192,1450,CRITICAL
71.02,2.108,1450,CRITICAL
71.73,2.284,1450,CRITICAL
81.77,2.239,1450,CRITICAL
74.72,2.023,1450,CRITICAL
85.62,1.924,1450,CRITICAL
76.09,2.252,1450,CRITICAL
78.85,2.216,1450,CRITICAL
86.86,2.35,1450,CRITICAL
84.95,2.378,1450,CRITICAL
86.76,2.357,1450,CRITICAL
88.14,2.093,1450,CRITICAL
84.74,2.104,1450,CRITICAL
77.17,2.171,1450,CRITICAL
75.03,2.374,1450,CRITICAL
78.75,1.997,1450,CRITICAL
80.85,2.195,1450,CRITICAL
81.81,2.317,1450,CRITICAL
79.89,1.989,1450,CRITICAL
77.48,2.056,1450,CRITICAL
78.88,2.293,1450,CRITICAL
76.75,1.987,1450,CRITICAL
77.98,2.094,1450,CRITICAL
73.11,2.062,1450,CRITICAL
87.39,2.194,1450,CRITICAL
72.11,2.214,1450,CRITICAL
83.41,2.094,1450,CRITICAL
75.47,2.146,1450,CRITICAL
80.76,2.065,1450,CRITICAL
79.48,2.143,1450,CRITICAL
77.46,1.988,1450,CRITICAL
73.41,2.103,1450,CRITICAL
83.39,2.04,1450,CRITICAL
81.67,1.928,1450,CRITICAL
89.19,2.251,1450,CRITICAL
81.87,1.997,1450,CRITICAL
73.84,2.289,1450,CRITICAL
88.21,2.169,1450,CRITICAL
76.16,2.249,1450,CRITICAL
80.76,2.154,1450,CRITICAL
73.08,1.966,1450,CRITICAL
72.89,2.001,1450,CRITICAL
72.88,2.13,1450,CRITICAL
85.97,2.192,1450,CRITICAL
82.02,2.111,1450,CRITICAL
74.67,2.215,1450,CRITICAL
83.85,2.358,1450,CRITICAL
77.31,2.295,1450,CRITICAL
76.79,2.07,1450,CRITICAL
76.45,2.369,1450,CRITICAL
78.28,2.107,1450,CRITICAL
80.38,2.272,1450,CRITICAL
71.01,2.29,1450,CRITICAL
74.25,1.943,1450,CRITICAL
84.75,2.035,1450,CRITICAL
