source_file,temperature,rpm,vibration_total,vibration_rms,vibration_mean,vibration_peak,vibration_std,risk_level
2004.02.13.05.32.39,0,0,0.084348,0.084348,-0.001952,0.835,0.084325,NORMAL
2004.02.13.05.42.39,0,0,0.084276,0.084276,-0.001886,0.784,0.084255,NORMAL
2004.02.13.05.52.39,0,0,0.085524,0.085524,-0.001604,0.564,0.085509,NORMAL
2004.02.13.06.02.39,0,0,0.085169,0.085169,-0.001856,0.659,0.085149,NORMAL
2004.02.13.06.12.39,0,0,0.085497,0.085497,-0.00219,0.625,0.085469,NORMAL
2004.02.13.06.22.39,0,0,0.085089,0.085089,-0.001673,0.73,0.085073,NORMAL
2004.02.13.06.32.39,0,0,0.084381,0.084381,-0.001904,0.781,0.08436,NORMAL
2004.02.13.06.42.39,0,0,0.08546,0.08546,-0.001813,0.688,0.08544,NORMAL
2004.02.13.06.52.39,0,0,0.085523,0.085523,-0.001872,0.891,0.085503,NORMAL
2004.02.13.07.02.39,0,0,0.085282,0.085282,-0.001781,0.732,0.085264,NORMAL
2004.02.13.07.12.39,0,0,0.083843,0.083843,-0.002011,1.008,0.083819,NORMAL
2004.02.13.07.22.39,0,0,0.085239,0.085239,-0.002154,0.901,0.085212,NORMAL
2004.02.13.07.32.39,0,0,0.083711,0.083711,-0.001811,0.754,0.083691,NORMAL
2004.02.13.07.42.39,0,0,0.084168,0.084168,-0.002129,0.681,0.084141,NORMAL
2004.02.13.07.52.39,0,0,0.085037,0.085037,-0.002279,1.094,0.085006,NORMAL
2004.02.13.08.02.39,0,0,0.083401,0.083401,-0.001813,0.991,0.083381,NORMAL
2004.02.13.08.12.39,0,0,0.085173,0.085173,-0.001804,0.671,0.085154,NORMAL
2004.02.13.08.22.39,0,0,0.085328,0.085328,-0.002112,0.845,0.085302,NORMAL
2004.02.13.08.32.39,0,0,0.083869,0.083869,-0.001736,0.901,0.083851,NORMAL
2004.02.13.08.42.39,0,0,0.085359,0.085359,-0.002048,0.71,0.085334,NORMAL
2004.02.13.08.52.39,0,0,0.085229,0.085229,-0.00164,0.823,0.085213,NORMAL
2004.02.13.09.02.39,0,0,0.085343,0.085343,-0.00216,0.913,0.085315,NORMAL
2004.02.13.09.12.39,0,0,0.085814,0.085814,-0.00195,0.847,0.085792,NORMAL
2004.02.13.09.22.39,0,0,0.084679,0.084679,-0.001345,0.72,0.084669,NORMAL
2004.02.13.09.32.39,0,0,0.085546,0.085546,-0.001866,0.645,0.085525,NORMAL
2004.02.13.09.42.39,0,0,0.083127,0.083127,-0.00164,0.762,0.083111,NORMAL
2004.02.13.09.52.39,0,0,0.083785,0.083785,-0.00214,0.618,0.083758,NORMAL
2004.02.13.10.02.39,0,0,0.08508,0.08508,-0.002296,0.762,0.085049,NORMAL
2004.02.13.10.12.39,0,0,0.084888,0.084888,-0.001767,0.867,0.08487,NORMAL
2004.02.13.10.22.39,0,0,0.085242,0.085242,-0.001892,0.952,0.085221,NORMAL
2004.02.13.10.32.39,0,0,0.084343,0.084343,-0.002101,0.769,0.084317,NORMAL
2004.02.13.10.42.39,0,0,0.086242,0.086242,-0.001819,1.069,0.086223,NORMAL
2004.02.13.10.52.39,0,0,0.084508,0.084508,-0.001525,0.676,0.084494,NORMAL
2004.02.13.11.02.39,0,0,0.084368,0.084368,-0.002278,0.781,0.084337,NORMAL
2004.02.13.11.12.39,0,0,0.083733,0.083733,-0.002113,0.796,0.083707,NORMAL
2004.02.13.11.22.39,0,0,0.084587,0.084587,-0.002045,0.635,0.084563,NORMAL
2004.02.13.11.32.39,0,0,0.083382,0.083382,-0.001743,0.708,0.083363,NORMAL
2004.02.13.11.42.39,0,0,0.085547,0.085547,-0.001893,1.018,0.085526,NORMAL
2004.02.13.11.52.39,0,0,0.084764,0.084764,-0.002204,0.635,0.084735,NORMAL
2004.02.13.12.02.39,0,0,0.085217,0.085217,-0.002114,0.776,0.085191,NORMAL
2004.02.13.12.12.39,0,0,0.084081,0.084081,-0.002032,0.588,0.084056,NORMAL
2004.02.13.12.22.39,0,0,0.083781,0.083781,-0.001483,0.986,0.083767,NORMAL
2004.02.13.12.32.39,0,0,0.086331,0.086331,-0.002109,0.723,0.086305,NORMAL
2004.02.13.12.42.39,0,0,0.084566,0.084566,-0.001696,0.918,0.084549,NORMAL
2004.02.13.12.52.39,0,0,0.08407,0.08407,-0.002034,0.767,0.084045,NORMAL
2004.02.13.13.02.39,0,0,0.08469,0.08469,-0.002125,1.108,0.084664,NORMAL
2004.02.13.13.12.39,0,0,0.08387,0.08387,-0.002355,0.747,0.083837,NORMAL
2004.02.13.13.22.39,0,0,0.08508,0.08508,-0.002036,0.959,0.085055,NORMAL
2004.02.13.13.32.39,0,0,0.083574,0.083574,-0.001986,0.872,0.083551,NORMAL
2004.02.13.13.42.39,0,0,0.08518,0.08518,-0.002444,0.723,0.085145,NORMAL
2004.02.13.13.52.39,0,0,0.083159,0.083159,-0.001898,0.715,0.083137,NORMAL
2004.02.13.14.02.39,0,0,0.084089,0.084089,-0.002105,0.652,0.084062,NORMAL
2004.02.13.14.12.39,0,0,0.084892,0.084892,-0.002552,0.593,0.084854,NORMAL
2004.02.13.14.22.39,0,0,0.085104,0.085104,-0.001886,0.842,0.085083,NORMAL
2004.02.13.14.32.39,0,0,0.084424,0.084424,-0.002029,0.557,0.084399,NORMAL
2004.02.13.14.42.39,0,0,0.085088,0.085088,-0.001829,0.759,0.085069,NORMAL
2004.02.13.14.52.39,0,0,0.083002,0.083002,-0.002081,0.715,0.082976,NORMAL
2004.02.13.15.02.39,0,0,0.084373,0.084373,-0.001968,0.747,0.08435,NORMAL
2004.02.13.15.12.39,0,0,0.083335,0.083335,-0.001961,0.669,0.083312,NORMAL
2004.02.13.15.22.39,0,0,0.082982,0.082982,-0.001927,0.647,0.082959,NORMAL
2004.02.13.15.32.39,0,0,0.083492,0.083492,-0.002228,0.752,0.083462,NORMAL
2004.02.13.15.42.39,0,0,0.083765,0.083765,-0.001746,0.605,0.083747,NORMAL
2004.02.13.15.52.39,0,0,0.084241,0.084241,-0.002013,0.781,0.084217,NORMAL
2004.02.13.16.02.39,0,0,0.083316,0.083316,-0.001577,0.569,0.083301,NORMAL
2004.02.13.16.12.39,0,0,0.083315,0.083315,-0.002285,0.784,0.083284,NORMAL
2004.02.13.16.22.39,0,0,0.082801,0.082801,-0.002298,0.564,0.08277,NORMAL
2004.02.13.16.32.39,0,0,0.083518,0.083518,-0.002064,0.757,0.083492,NORMAL
2004.02.13.16.42.39,0,0,0.084117,0.084117,-0.001913,0.608,0.084096,NORMAL
2004.02.13.16.52.39,0,0,0.082651,0.082651,-0.001861,0.718,0.08263,NORMAL
2004.02.13.17.02.39,0,0,0.084628,0.084628,-0.002255,0.745,0.084598,NORMAL
2004.02.13.17.12.39,0,0,0.084339,0.084339,-0.002487,0.747,0.084302,NORMAL
2004.02.13.17.22.39,0,0,0.084346,0.084346,-0.002149,0.679,0.084318,NORMAL
2004.02.13.17.32.39,0,0,0.085291,0.085291,-0.00246,0.811,0.085255,NORMAL
2004.02.13.17.42.39,0,0,0.0854,0.0854,-0.001451,0.718,0.085388,NORMAL
2004.02.13.17.52.39,0,0,0.082977,0.082977,-0.002126,0.671,0.08295,NORMAL
2004.02.13.18.02.39,0,0,0.083928,0.083928,-0.002201,0.63,0.083899,NORMAL
2004.02.13.18.12.39,0,0,0.082724,0.082724,-0.001906,0.771,0.082702,NORMAL
2004.02.13.18.22.39,0,0,0.084604,0.084604,-0.001932,0.845,0.084582,NORMAL
2004.02.13.18.32.39,0,0,0.0838,0.0838,-0.002053,0.676,0.083775,NORMAL
2004.02.13.18.42.39,0,0,0.08356,0.08356,-0.002685,0.747,0.083517,NORMAL
2004.02.13.18.52.39,0,0,0.085206,0.085206,-0.001934,0.793,0.085184,NORMAL
2004.02.13.19.02.39,0,0,0.084261,0.084261,-0.002138,0.64,0.084234,NORMAL
2004.02.13.19.12.39,0,0,0.084684,0.084684,-0.002267,0.71,0.084653,NORMAL
2004.02.13.19.22.39,0,0,0.0828,0.0828,-0.002291,0.645,0.082769,NORMAL
2004.02.13.19.32.39,0,0,0.084137,0.084137,-0.002237,0.728,0.084107,NORMAL
2004.02.13.19.42.39,0,0,0.083546,0.083546,-0.002345,0.61,0.083513,NORMAL
2004.02.13.19.52.39,0,0,0.085448,0.085448,-0.002351,0.911,0.085416,NORMAL
2004.02.13.20.02.39,0,0,0.08348,0.08348,-0.002058,0.657,0.083454,NORMAL
2004.02.13.20.12.39,0,0,0.084217,0.084217,-0.002046,0.676,0.084192,NORMAL
2004.02.13.20.22.39,0,0,0.084777,0.084777,-0.002263,0.889,0.084747,NORMAL
2004.02.13.20.32.39,0,0,0.083238,0.083238,-0.002054,0.657,0.083212,NORMAL
2004.02.13.20.42.39,0,0,0.083176,0.083176,-0.002011,0.774,0.083151,NORMAL
2004.02.13.20.52.39,0,0,0.083431,0.083431,-0.002303,0.913,0.083399,NORMAL
2004.02.13.21.02.39,0,0,0.083819,0.083819,-0.002361,0.762,0.083786,NORMAL
2004.02.13.21.12.39,0,0,0.083897,0.083897,-0.002308,0.85,0.083865,NORMAL
2004.02.13.21.22.39,0,0,0.082227,0.082227,-0.001897,0.64,0.082205,NORMAL
2004.02.13.21.32.39,0,0,0.082921,0.082921,-0.002333,0.808,0.082888,NORMAL
2004.02.13.21.42.39,0,0,0.084926,0.084926,-0.001878,0.769,0.084905,NORMAL
2004.02.13.21.52.39,0,0,0.084851,0.084851,-0.002147,1.035,0.084824,NORMAL
2004.02.13.22.02.39,0,0,0.083999,0.083999,-0.002206,0.911,0.08397,NORMAL
2004.02.13.22.12.39,0,0,0.085736,0.085736,-0.001873,0.818,0.085716,NORMAL
2004.02.13.22.22.39,0,0,0.084026,0.084026,-0.001704,0.737,0.084009,NORMAL
2004.02.13.22.32.39,0,0,0.08373,0.08373,-0.001809,0.723,0.083711,NORMAL
2004.02.13.22.42.39,0,0,0.084759,0.084759,-0.002301,0.933,0.084727,NORMAL
2004.02.13.22.52.39,0,0,0.08343,0.08343,-0.00216,0.664,0.083402,NORMAL
2004.02.13.23.02.39,0,0,0.084595,0.084595,-0.001288,0.664,0.084585,NORMAL
2004.02.13.23.12.39,0,0,0.08312,0.08312,-0.002031,0.601,0.083095,NORMAL
2004.02.13.23.22.39,0,0,0.08368,0.08368,-0.002075,0.586,0.083654,NORMAL
2004.02.13.23.32.39,0,0,0.083645,0.083645,-0.002057,0.835,0.08362,NORMAL
2004.02.13.23.42.39,0,0,0.08354,0.08354,-0.002599,0.667,0.0835,NORMAL
2004.02.13.23.52.39,0,0,0.083837,0.083837,-0.002209,0.737,0.083808,NORMAL
2004.02.14.00.02.39,0,0,0.083543,0.083543,-0.001836,0.706,0.083523,NORMAL
2004.02.14.00.12.39,0,0,0.083525,0.083525,-0.001652,0.95,0.083509,NORMAL
2004.02.14.00.22.39,0,0,0.083989,0.083989,-0.001773,0.835,0.08397,NORMAL
2004.02.14.00.32.39,0,0,0.08399,0.08399,-0.002086,0.725,0.083964,NORMAL
2004.02.14.00.42.39,0,0,0.084788,0.084788,-0.00175,0.867,0.08477,NORMAL
2004.02.14.00.52.39,0,0,0.08346,0.08346,-0.001387,0.679,0.083449,NORMAL
2004.02.14.01.02.39,0,0,0.084532,0.084532,-0.002218,0.723,0.084502,NORMAL
2004.02.14.01.12.39,0,0,0.082325,0.082325,-0.001898,0.74,0.082303,NORMAL
2004.02.14.01.22.39,0,0,0.084693,0.084693,-0.003002,0.62,0.08464,NORMAL
2004.02.14.01.32.39,0,0,0.083347,0.083347,-0.001707,0.82,0.08333,NORMAL
2004.02.14.01.42.39,0,0,0.08337,0.08337,-0.001779,0.588,0.083351,NORMAL
2004.02.14.01.52.39,0,0,0.084945,0.084945,-0.00221,0.811,0.084916,NORMAL
2004.02.14.02.02.39,0,0,0.083904,0.083904,-0.001893,0.627,0.083882,NORMAL
2004.02.14.02.12.39,0,0,0.084214,0.084214,-0.001464,0.679,0.084201,NORMAL
2004.02.14.02.22.39,0,0,0.083553,0.083553,-0.002037,0.825,0.083529,NORMAL
2004.02.14.02.32.39,0,0,0.083406,0.083406,-0.002241,0.698,0.083376,NORMAL
2004.02.14.02.42.39,0,0,0.082987,0.082987,-0.001671,0.886,0.082971,NORMAL
2004.02.14.02.52.39,0,0,0.084967,0.084967,-0.001847,1.074,0.084947,NORMAL
2004.02.14.03.02.39,0,0,0.082326,0.082326,-0.002113,0.671,0.082299,NORMAL
2004.02.14.03.12.39,0,0,0.083659,0.083659,-0.001664,0.664,0.083642,NORMAL
2004.02.14.03.22.39,0,0,0.08469,0.08469,-0.001822,0.669,0.08467,NORMAL
2004.02.14.03.32.39,0,0,0.084972,0.084972,-0.001784,0.83,0.084953,NORMAL
2004.02.14.03.42.39,0,0,0.083739,0.083739,-0.001249,0.728,0.08373,NORMAL
2004.02.14.03.52.39,0,0,0.08466,0.08466,-0.002149,0.715,0.084632,NORMAL
2004.02.14.04.02.39,0,0,0.084065,0.084065,-0.001889,0.818,0.084044,NORMAL
2004.02.14.04.12.39,0,0,0.082675,0.082675,-0.001979,0.576,0.082651,NORMAL
2004.02.14.04.22.39,0,0,0.083571,0.083571,-0.001983,0.962,0.083548,NORMAL
2004.02.14.04.32.39,0,0,0.084017,0.084017,-0.0024,0.645,0.083982,NORMAL
2004.02.14.04.42.39,0,0,0.083442,0.083442,-0.002377,0.574,0.083408,NORMAL
2004.02.14.04.52.39,0,0,0.083875,0.083875,-0.002063,0.906,0.08385,NORMAL
2004.02.14.05.02.39,0,0,0.084138,0.084138,-0.002156,0.586,0.08411,NORMAL
2004.02.14.05.12.39,0,0,0.083665,0.083665,-0.002126,0.759,0.083638,NORMAL
2004.02.14.05.22.39,0,0,0.084006,0.084006,-0.001901,0.652,0.083984,NORMAL
2004.02.14.05.32.39,0,0,0.082504,0.082504,-0.001745,0.603,0.082486,NORMAL
2004.02.14.05.42.39,0,0,0.08484,0.08484,-0.001971,0.74,0.084817,NORMAL
2004.02.14.05.52.39,0,0,0.083877,0.083877,-0.001814,0.833,0.083858,NORMAL
2004.02.14.06.02.39,0,0,0.083596,0.083596,-0.001808,0.786,0.083576,NORMAL
2004.02.14.06.12.39,0,0,0.08372,0.08372,-0.002028,0.725,0.083696,NORMAL
2004.02.14.06.22.39,0,0,0.082981,0.082981,-0.0023,0.688,0.082949,NORMAL
2004.02.14.06.32.39,0,0,0.083804,0.083804,-0.001929,0.942,0.083782,NORMAL
2004.02.14.06.42.39,0,0,0.084159,0.084159,-0.002364,0.725,0.084126,NORMAL
2004.02.14.06.52.39,0,0,0.083489,0.083489,-0.002283,0.779,0.083458,NORMAL
2004.02.14.07.02.39,0,0,0.084464,0.084464,-0.002313,0.957,0.084432,NORMAL
2004.02.14.07.12.39,0,0,0.084497,0.084497,-0.001779,0.776,0.084478,NORMAL
2004.02.14.07.22.39,0,0,0.083472,0.083472,-0.00225,0.779,0.083442,NORMAL
2004.02.14.07.32.39,0,0,0.083341,0.083341,-0.001904,0.703,0.083319,NORMAL
2004.02.14.07.42.39,0,0,0.083414,0.083414,-0.002067,0.735,0.083389,NORMAL
2004.02.14.07.52.39,0,0,0.083674,0.083674,-0.002252,0.625,0.083644,NORMAL
2004.02.14.08.02.39,0,0,0.083398,0.083398,-0.002024,0.735,0.083374,NORMAL
2004.02.14.08.12.39,0,0,0.084359,0.084359,-0.002153,0.759,0.084331,NORMAL
2004.02.14.08.22.39,0,0,0.084066,0.084066,-0.00232,0.693,0.084034,NORMAL
2004.02.14.08.32.39,0,0,0.084306,0.084306,-0.002044,0.754,0.084281,NORMAL
2004.02.14.08.42.39,0,0,0.082889,0.082889,-0.002111,0.581,0.082862,NORMAL
2004.02.14.08.52.39,0,0,0.083454,0.083454,-0.001919,0.73,0.083432,NORMAL
2004.02.14.09.02.39,0,0,0.082144,0.082144,-0.001939,0.718,0.082121,NORMAL
2004.02.14.09.12.39,0,0,0.083456,0.083456,-0.001703,0.698,0.083439,NORMAL
2004.02.14.09.22.39,0,0,0.083096,0.083096,-0.001671,0.679,0.083079,NORMAL
2004.02.14.09.32.39,0,0,0.082599,0.082599,-0.003113,0.747,0.08254,NORMAL
2004.02.14.09.42.39,0,0,0.084011,0.084011,-0.00191,0.886,0.083989,NORMAL
2004.02.14.09.52.39,0,0,0.083805,0.083805,-0.002277,0.75,0.083774,NORMAL
2004.02.14.10.02.39,0,0,0.082491,0.082491,-0.001749,0.942,0.082473,NORMAL
2004.02.14.10.12.39,0,0,0.083819,0.083819,-0.001753,0.664,0.0838,NORMAL
2004.02.14.10.22.39,0,0,0.082478,0.082478,-0.001847,0.813,0.082457,NORMAL
2004.02.14.10.32.39,0,0,0.084132,0.084132,-0.003157,0.789,0.084073,NORMAL
